ZONE_FID,ZONE_NAME,DATE,SCENE_ID,LANDSAT,PATH,ROW,YEAR,MONTH,DAY,DOY,PIXEL_COUNT,PIXEL_TOTAL,FMASK_COUNT,FMASK_TOTAL,LOW_ETG_COUNT,CLOUD_SCORE,NDVI_TOA,NDWI_TOA,ALBEDO_SUR,TS,EVI_SUR,ETSTAR_MEAN,ETG_MEAN,ETG_LPI,ETG_UPI,ETG_LCI,ETG_UCI,WY_ETO,WY_PPT
0,Spring,1984-06-30,LT05_041XXX_19840630,LT05,41,32,1984,6,30,182,5856,5856,0,5856,0,0.0,0.199113667011,0.369453877211,0.151663258672,316.779968262,0.137405574322,0.173066541553,148.340957642,71.2259750366,225.669158936,132.831512451,163.862197876,1163.15771484,306.02520752
0,Spring,1984-08-01,LT05_041XXX_19840801,LT05,41,32,1984,8,1,214,5856,5856,5856,5856,263,89.6924514771,0.084813028574,0.10724452883,0.394750446081,267.572479248,0.107063606381,0.0968133583665,82.981880188,24.3093204498,159.996444702,68.5098342896,98.0688705444,1163.15771484,306.02520752
0,Spring,1985-05-16,LT05_041XXX_19850516,LT05,41,32,1985,5,16,136,5856,5856,0,5856,0,0.0420081950724,0.275970935822,0.378929406404,0.147042632103,307.433929443,0.191218614578,0.299844533205,320.820373535,224.481903076,417.179290771,300.960266113,340.700958252,1266.25061035,196.294921875
0,Spring,1985-06-17,LT05_041XXX_19850617,LT05,41,32,1985,6,17,168,5856,5856,0,5856,0,0.0,0.188306674361,0.366017490625,0.155722185969,330.189971924,0.130004435778,0.154954329133,165.794265747,69.4520263672,262.361907959,146.473602295,185.128829956,1266.25061035,196.294921875
0,Spring,1985-07-03,LT05_041XXX_19850703,LT05,41,32,1985,7,3,184,5856,5856,0,5856,0,0.0,0.17203822732,0.398328512907,0.165032431483,334.377624512,0.122965723276,0.137373283505,146.983337402,50.8457794189,243.596450806,127.685676575,166.294616699,1266.25061035,196.294921875
0,Spring,1985-07-19,LT05_041XXX_19850719,LT05,41,32,1985,7,19,200,5856,5856,0,5856,1,0.0,0.153072744608,0.372894704342,0.161091521382,323.202819824,0.110788054764,0.106564030051,114.018791199,21.49127388,210.71937561,94.7479095459,133.306243896,1266.25061035,196.294921875
0,Spring,1985-08-20,LT05_041XXX_19850820,LT05,41,32,1985,8,20,232,5856,5856,5856,5856,1,34.3046455383,0.112082764506,0.195263385773,0.203890949488,293.818054199,0.10232874006,0.084902100265,90.8414840698,6.75521564484,187.608840942,71.5837860107,110.12348175,1266.25061035,196.294921875
0,Spring,1985-09-05,LT05_041XXX_19850905,LT05,41,32,1985,9,5,248,5856,5856,5856,5856,15,60.8833656311,0.0831997096539,0.139513522387,0.250016093254,268.057739258,0.0952470749617,0.0665489211679,71.2044067383,2.34675908089,168.018936157,52.1105918884,90.4776687622,1266.25061035,196.294921875
0,Spring,1985-09-21,LT05_041XXX_19850921,LT05,41,32,1985,9,21,264,5856,5856,816,5856,361,9.22745895386,0.117559559643,0.343998908997,0.162982493639,303.499206543,0.0903841406107,0.054797641933,58.6310501099,1.22577834129,154.407165527,41.1338424683,77.1628952026,1266.25061035,196.294921875
0,Spring,1986-05-03,LT05_041XXX_19860503,LT05,41,32,1986,5,3,123,5856,5856,0,5856,0,0.0,0.283603310585,0.365438550711,0.145977303386,312.180389404,0.194353699684,0.306037634611,337.073364258,237.884506226,436.283630371,316.54675293,357.621398926,1294.13671875,192.725158691
